Name,,,,,,,,,,,,,Ticker
ADVICENNE PROMESSE,FR0013296746,ADVIC,Euronext Paris,EUR,-,-,-,-,-,-,-,-,xpar:ADVIC
GDS (144A) RUSAL,US9098831004,RUAL,Euronext Paris,EUR,-,-,-,-,-,-,-,-,xpar:RUAL
VALE PREF,US91912E2046,VALE5,Euronext Paris,EUR,-,-,-,-,-,-,-,-,xpar:VALE5
ORANGE,FR0000133308,ORA,Euronext Paris,EUR,14.25,14.44,14.24,14.24,05/12/2017 17:38,CET,8623743,123424736.7,xpar:ORA
CREDIT AGRICOLE,FR0000045072,ACA,Euronext Paris,EUR,14.26,14.38,14.02,14.08,05/12/2017 17:36,CET,6405837,90523296.07,xpar:ACA
ENGIE,FR0010208488,ENGI,"Euronext Paris, Brussels",EUR,14.78,14.88,14.745,14.83,05/12/2017 17:39,CET,5347463,79223568.05,xpar:ENGI
TOTAL,FR0000120271,FP,"Euronext Paris, Brussels",EUR,47.78,48.015,47.435,47.435,05/12/2017 18:05,CET,4737308,226032469,xpar:FP
STMICROELECTRONICS,NL0000226223,STM,Euronext Paris,EUR,18.39,18.935,18.13,18.765,05/12/2017 17:35,CET,4524892,83864100.06,xpar:STM
AXA,FR0000120628,CS,Euronext Paris,EUR,25.47,25.62,25.225,25.34,05/12/2017 18:31,CET,4269244,108403052.8,xpar:CS
VALLOUREC,FR0000120354,VK,Euronext Paris,EUR,4.57,4.588,4.439,4.457,05/12/2017 17:38,CET,4173720,18735632.43,xpar:VK
NATIXIS,FR0000120685,KN,Euronext Paris,EUR,6.83,6.85,6.683,6.717,05/12/2017 17:37,CET,3705181,24976047.67,xpar:KN
PEUGEOT,FR0000121501,UG,Euronext Paris,EUR,17.22,17.38,16.975,17.21,05/12/2017 17:38,CET,3560702,61255673.87,xpar:UG
SOCIETE GENERALE,FR0000130809,GLE,Euronext Paris,EUR,42.875,43.42,42.57,42.73,05/12/2017 17:39,CET,3479463,149167207.1,xpar:GLE
BNP PARIBAS ACT.A,FR0000131104,BNP,Euronext Paris,EUR,63.94,64.54,63.16,63.51,05/12/2017 18:31,CET,3370784,214384122.4,xpar:BNP
CARREFOUR,FR0000120172,CA,Euronext Paris,EUR,18.13,18.25,17.93,17.95,05/12/2017 17:38,CET,3251726,58740286.14,xpar:CA
EDF,FR0010242511,EDF,Euronext Paris,EUR,10.95,11.12,10.885,10.91,05/12/2017 17:35,CET,2814378,30863715.3,xpar:EDF
SANOFI,FR0000120578,SAN,Euronext Paris,EUR,74.53,74.86,73.56,73.97,05/12/2017 17:38,CET,2609409,192993525.3,xpar:SAN
VIVENDI,FR0000127771,VIV,Euronext Paris,EUR,22.055,22.175,21.94,22.095,05/12/2017 17:38,CET,2588131,57114391.01,xpar:VIV
SOLOCAL GROUP,FR0012938884,LOCAL,Euronext Paris,EUR,0.879,0.883,0.843,0.849,05/12/2017 17:35,CET,2423782,2078125.245,xpar:LOCAL
AIR FRANCE -KLM,FR0000031122,AF,"Euronext Paris, Amsterdam",EUR,12.02,12.215,11.96,12.195,05/12/2017 17:35,CET,2393190,28925941.69,xpar:AF
VEOLIA ENVIRON.,FR0000124141,VIE,Euronext Paris,EUR,21.22,21.375,21.13,21.22,05/12/2017 17:38,CET,2115646,44970785.98,xpar:VIE
SAINT GOBAIN,FR0000125007,SGO,"Euronext Paris, Amsterdam, Brussels",EUR,47.34,47.685,47.205,47.51,05/12/2017 17:39,CET,1624000,77126091.68,xpar:SGO
GECI INTL,FR0000079634,GECP,Euronext Paris,EUR,0.1,0.11,0.09,0.09,05/12/2017 17:35,CET,1588810,152988.87,xpar:GECP
SES,LU0088087324,SESG,Euronext Paris,EUR,14.35,14.35,14.2,14.3,05/12/2017 17:35,CET,1454975,20798443.54,xpar:SESG
TECHNICOLOR,FR0010918292,TCH,Euronext Paris,EUR,3.15,3.193,3.123,3.157,05/12/2017 17:35,CET,1427654,4514408.372,xpar:TCH
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,87.66,88.57,87.06,88.57,05/12/2017 18:04,CET,1385214,122074302.9,xpar:AIR
GROUPE SFPI,FR0004155000,SFPI,Euronext Paris,EUR,3.09,3.28,3.09,3.11,05/12/2017 17:28,CET,1374800,4331370.33,xpar:SFPI
CLARANOVA,FR0004026714,CLA,Euronext Paris,EUR,0.446,0.449,0.436,0.442,05/12/2017 17:35,CET,1365218,603451.594,xpar:CLA
ATARI,FR0010478248,ATA,Euronext Paris,EUR,0.35,0.35,0.34,0.35,05/12/2017 17:35,CET,1347278,460931.59,xpar:ATA
DANONE,FR0000120644,BN,Euronext Paris,EUR,69.49,70.35,69.49,70.12,05/12/2017 18:04,CET,1345597,94282288.07,xpar:BN
BOLLORE,FR0000039299,BOL,Euronext Paris,EUR,4.46,4.48,4.43,4.45,05/12/2017 17:38,CET,1313747,5847505.229,xpar:BOL
CATANA GROUP,FR0010193052,CATG,Euronext Paris,EUR,2.7,2.71,2.41,2.41,05/12/2017 17:35,CET,1275468,3223869.42,xpar:CATG
NOKIA,FI0009000681,NOKIA,Euronext Paris,EUR,4.011,4.044,3.984,4.028,05/12/2017 17:35,CET,1178228,4739186.766,xpar:NOKIA
TECHNIPFMC,GB00BDSFG982,FTI,Euronext Paris,EUR,24.44,24.62,24.145,24.205,05/12/2017 17:39,CET,1176761,28610327.76,xpar:FTI
BOUYGUES,FR0000120503,EN,Euronext Paris,EUR,43.505,44.19,43.465,44.035,05/12/2017 17:35,CET,1174344,51528171.32,xpar:EN
GROUPE EUROTUNNEL,FR0010533075,GET,"Euronext Paris, London",EUR,10.98,11.07,10.915,10.98,05/12/2017 17:35,CET,1138133,12503903.2,xpar:GET
VINCI,FR0000125486,DG,Euronext Paris,EUR,86.59,87.27,86.59,87.1,05/12/2017 18:31,CET,1130714,98389562.44,xpar:DG
FAURECIA,FR0000121147,EO,Euronext Paris,EUR,63.67,65.27,63.4,65.18,05/12/2017 17:36,CET,1071662,69222817.19,xpar:EO
SUEZ,FR0010613471,SEV,"Euronext Paris, Brussels",EUR,15.595,15.785,15.59,15.78,05/12/2017 17:36,CET,998419,15705196.65,xpar:SEV
SCHNEIDER ELECTRIC,FR0000121972,SU,Euronext Paris,EUR,71.43,71.91,70.86,71.2,05/12/2017 17:38,CET,976404,69630422.88,xpar:SU
REXEL,FR0010451203,RXL,Euronext Paris,EUR,15.54,15.675,15.225,15.225,05/12/2017 17:35,CET,968390,14877887.11,xpar:RXL
NEOPOST,FR0000120560,NEO,Euronext Paris,EUR,26.01,26.52,23.59,24,05/12/2017 17:35,CET,889853,21750002.72,xpar:NEO
ACCOR,FR0000120404,AC,Euronext Paris,EUR,43.075,43.24,42.59,42.59,05/12/2017 18:02,CET,829686,35480817.63,xpar:AC
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,105.75,106.9,104.95,106.65,05/12/2017 17:35,CET,825646,87652583.1,xpar:AI
CASINO GUICHARD,FR0000125585,CO,Euronext Paris,EUR,51.81,53,51.81,52.55,05/12/2017 17:35,CET,801043,42188633.41,xpar:CO
CAPGEMINI,FR0000125338,CAP,Euronext Paris,EUR,96.63,96.85,95.03,96.5,05/12/2017 17:35,CET,777491,74736872.2,xpar:CAP
EUTELSAT COMMUNIC.,FR0010221234,ETL,Euronext Paris,EUR,19.365,19.465,19.05,19.055,05/12/2017 17:36,CET,775301,14850097.17,xpar:ETL
ESSILOR INTL.,FR0000121667,EI,Euronext Paris,EUR,111.95,112.95,111.3,112.8,05/12/2017 17:39,CET,741884,83332672.15,xpar:EI
PUBLICIS GROUPE SA,FR0000130577,PUB,Euronext Paris,EUR,55.98,56.76,55.95,55.95,05/12/2017 18:31,CET,700342,39408044.13,xpar:PUB
CGG,FR0013181864,CGG,Euronext Paris,EUR,3.93,4.14,3.83,4.14,05/12/2017 17:37,CET,698928,2781162.88,xpar:CGG
LVMH,FR0000121014,MC,Euronext Paris,EUR,242.05,247.05,242.05,245.9,05/12/2017 17:37,CET,692870,169715975.2,xpar:MC
RENAULT,FR0000131906,RNO,Euronext Paris,EUR,85.34,85.65,84.09,84.88,05/12/2017 17:38,CET,683438,58024108.32,xpar:RNO
KLEPIERRE,FR0000121964,LI,Euronext Paris,EUR,35.5,35.62,35.34,35.52,05/12/2017 17:35,CET,679561,24130252.78,xpar:LI
SAFRAN,FR0000073272,SAF,Euronext Paris,EUR,89.25,89.56,88.13,88.95,05/12/2017 17:35,CET,621181,55213254.68,xpar:SAF
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,34.645,34.88,34.27,34.42,05/12/2017 17:35,CET,616308,21228775.7,xpar:ALO
VALEO,FR0013176526,FR,Euronext Paris,EUR,60.27,60.68,59.94,60.43,05/12/2017 18:31,CET,615497,37139968,xpar:FR
LEGRAND,FR0010307819,LR,Euronext Paris,EUR,63.14,63.73,62.69,62.84,05/12/2017 17:37,CET,613426,38679570.07,xpar:LR
BUREAU VERITAS,FR0006174348,BVI,Euronext Paris,EUR,22.69,22.75,22.615,22.7,05/12/2017 17:35,CET,557774,12665526.98,xpar:BVI
ELIOR GROUP,FR0011950732,ELIOR,Euronext Paris,EUR,18.5,18.63,18.24,18.29,05/12/2017 17:35,CET,537416,9869946.125,xpar:ELIOR
HAVAS,FR0000121881,HAV,Euronext Paris,EUR,9.25,9.25,9.25,9.25,05/12/2017 17:35,CET,516096,4773888,xpar:HAV
L'OREAL,FR0000120321,OR,Euronext Paris,EUR,187,189.25,186.4,188.5,05/12/2017 18:05,CET,488156,91992749.4,xpar:OR
MICHELIN,FR0000121261,ML,Euronext Paris,EUR,124.05,124.8,122.75,123.25,05/12/2017 17:39,CET,475222,58666381.75,xpar:ML
UBISOFT ENTERTAIN,FR0000054470,UBI,Euronext Paris,EUR,64.25,64.99,62.78,64.88,05/12/2017 17:35,CET,460483,29558921.89,xpar:UBI
ALTRAN TECHN.,FR0000034639,ALT,Euronext Paris,EUR,14.48,14.48,14.28,14.35,05/12/2017 17:38,CET,415344,5971230.015,xpar:ALT
ATOS,FR0000051732,ATO,Euronext Paris,EUR,124.15,124.35,122.1,123.1,05/12/2017 17:35,CET,371014,45660307.25,xpar:ATO
PERNOD RICARD,FR0000120693,RI,Euronext Paris,EUR,129.7,131.2,129,131.05,05/12/2017 17:35,CET,366486,47903607.85,xpar:RI
EDENRED,FR0010908533,EDEN,Euronext Paris,EUR,24.185,24.4,24.11,24.155,05/12/2017 17:35,CET,365256,8841815.945,xpar:EDEN
EIFFAGE,FR0000130452,FGR,Euronext Paris,EUR,92.59,93.34,92.39,93.11,05/12/2017 17:35,CET,361006,33574137.73,xpar:FGR
INNATE PHARMA,FR0010331421,IPH,Euronext Paris,EUR,4.8,4.85,4.71,4.72,05/12/2017 17:39,CET,358113,1703780.07,xpar:IPH
SPIE,FR0012757854,SPIE,Euronext Paris,EUR,22.95,22.95,22.315,22.645,05/12/2017 17:35,CET,356841,8079377.78,xpar:SPIE
THALES,FR0000121329,HO,Euronext Paris,EUR,85.17,85.58,83.89,84.25,05/12/2017 17:38,CET,351377,29672109.36,xpar:HO
CNP ASSURANCES,FR0000120222,CNP,Euronext Paris,EUR,18.61,18.765,18.59,18.63,05/12/2017 17:35,CET,348020,6488533.785,xpar:CNP
ANF IMMOBILIER,FR0000063091,ANF,Euronext Paris,EUR,22.15,22.16,22.15,22.15,05/12/2017 17:37,CET,347103,7688359.74,xpar:ANF
ZODIAC AEROSPACE,FR0000125684,ZC,Euronext Paris,EUR,24.65,24.75,24.65,24.715,05/12/2017 18:31,CET,342517,8466287.535,xpar:ZC
SCOR SE,FR0010411983,SCR,Euronext Paris,EUR,34.21,34.36,33.97,34.035,05/12/2017 17:35,CET,334246,11398128.28,xpar:SCR
ALD,FR0013258662,ALD,Euronext Paris,EUR,13.59,13.89,13.415,13.44,05/12/2017 17:35,CET,313096,4236790.015,xpar:ALD
SODEXO,FR0000121220,SW,Euronext Paris,EUR,112.3,112.7,111.35,111.6,05/12/2017 17:35,CET,300958,33651607.65,xpar:SW
DASSAULT SYSTEMES,FR0000130650,DSY,Euronext Paris,EUR,89.65,89.92,88.46,89.64,05/12/2017 18:03,CET,300039,26812953.67,xpar:DSY
ELIS,FR0012435121,ELIS,Euronext Paris,EUR,22.09,22.29,22.02,22.275,05/12/2017 17:35,CET,257324,5713550.16,xpar:ELIS
EUROPCAR,FR0012789949,EUCAR,Euronext Paris,EUR,10.52,10.53,10.32,10.465,05/12/2017 17:35,CET,254266,2654688.67,xpar:EUCAR
MAUNA KEA TECH,FR0010609263,MKEA,Euronext Paris,EUR,4.62,4.63,4.49,4.49,05/12/2017 17:35,CET,251210,1141652.38,xpar:MKEA
LAGARDERE S.C.A.,FR0000130213,MMB,Euronext Paris,EUR,27.645,27.9,27.495,27.495,05/12/2017 17:35,CET,250951,6923775.875,xpar:MMB
TF1,FR0000054900,TFI,Euronext Paris,EUR,12.96,13.055,12.855,12.975,05/12/2017 17:35,CET,248325,3218580.885,xpar:TFI
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,73.29,74.4,72.87,73.45,05/12/2017 17:35,CET,236954,17392946.08,xpar:AMUN
INGENICO GROUP,FR0000125346,ING,Euronext Paris,EUR,86.28,86.3,84.65,85.95,05/12/2017 17:35,CET,233675,20023320.32,xpar:ING
KERING,FR0000121485,KER,Euronext Paris,EUR,374.15,380.65,370.9,378.35,05/12/2017 17:35,CET,217261,81823405.05,xpar:KER
ONXEO,FR0010095596,ONXEO,Euronext Paris,EUR,1.07,1.07,1.06,1.06,05/12/2017 17:35,CET,211368,224725.37,xpar:ONXEO
MICROPOLE,FR0000077570,MUN,Euronext Paris,EUR,1.25,1.32,1.24,1.32,05/12/2017 17:37,CET,204859,261867.13,xpar:MUN
ERYTECH PHARMA,FR0011471135,ERYP,Euronext Paris,EUR,24.48,26.25,23.98,25.57,05/12/2017 17:35,CET,199504,5023402.17,xpar:ERYP
BIOMERIEUX,FR0013280286,BIM,Euronext Paris,EUR,71.5,73.87,71.4,73.72,05/12/2017 17:52,CET,197224,14388950.41,xpar:BIM
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.76,0.77,0.75,0.76,05/12/2017 17:25,CET,194912,147260.34,xpar:ACAN
SOITEC,FR0013227113,SOI,Euronext Paris,EUR,60,60.74,58.61,60.69,05/12/2017 17:35,CET,193645,11527415.59,xpar:SOI
LAFARGEHOLCIM LTD,CH0012214059,LHN,Euronext Paris,EUR,45.5,45.98,45.335,45.71,05/12/2017 18:31,CET,188631,8610879.715,xpar:LHN
NEXANS,FR0000044448,NEX,Euronext Paris,EUR,54.1,54.44,53.1,53.24,05/12/2017 17:35,CET,176927,9505358.6,xpar:NEX
DERICHEBOURG,FR0000053381,DBG,Euronext Paris,EUR,9.06,9.09,8.82,9.05,05/12/2017 17:35,CET,169052,1519995.172,xpar:DBG
PLASTIC OMNIUM,FR0000124570,POM,Euronext Paris,EUR,36.3,36.5,35.7,36.07,05/12/2017 17:35,CET,164640,5950784.835,xpar:POM
