,Ticker,Name
KCO:xetr,xetr:KCO,Klöckner and Co. SE
1COV:xetr,xetr:1COV,Covestro AG
2FI:xetr,xetr:2FI,Fiat Chrysler Automobiles
2GB:xetr,xetr:2GB,2G Bio-Energietechnik AG
2HRA:xetr,xetr:2HRA,H&R GmbH & Co. KGaA
2PP:xetr,xetr:2PP,PayPal Holdings Inc.
333:xetr,xetr:333,Decheng Technology AG
3P7:xetr,xetr:3P7,Pandora A/S
3RB:xetr,xetr:3RB,Reckitt Benckiser Group Plc
3V64:xetr,xetr:3V64,Visa Inc.
4DS:xetr,xetr:4DS,Daldrup & Soehne AG
93M:xetr,xetr:93M,MPH Health Care AG
99SC:xetr,xetr:99SC,Staramba SE
A5AB:xetr,xetr:A5AB,Asknet AG
A6T:xetr,xetr:A6T,Artec Technologies AG
A7A:xetr,xetr:A7A,FinLab AG
A8A:xetr,xetr:A8A,JDC Group AG
AAD:xetr,xetr:AAD,AMADEUS FIRE AG
AAG:xetr,xetr:AAG,Aumann AG
AAQ:xetr,xetr:AAQ,aap Implantate AG
AB1:xetr,xetr:AB1,Air Berlin Plc
ABEC:xetr,xetr:ABEC,Alphabet Inc. - C Share
ABJ:xetr,xetr:ABJ,ABB Ltd
ABR:xetr,xetr:ABR,Barrick Gold Corp.
ACWN:xetr,xetr:ACWN,A.S.Creation Tapeten AG
ACX:xetr,xetr:ACX,bet-at-home.com AG
ADD:xetr,xetr:ADD,Adler Modemaerkte AG
ADE:xetr,xetr:ADE,Bitcoin Group SE
ADJ:xetr,xetr:ADJ,ADO Properties SA
ADL:xetr,xetr:ADL,Adler Real Est AG
ADN1:xetr,xetr:ADN1,adesso K AG
ADS:xetr,xetr:ADS,Adidas
ADV:xetr,xetr:ADV,ADVA Optical Networking SE
AEIN:xetr,xetr:AEIN,Allgeier SE
AFX:xetr,xetr:AFX,Carl Zeiss Meditec AG
AHLA:xetr,xetr:AHLA,Alibaba Group Holding Ltd
AIR:xetr,xetr:AIR,Airbus SE
AIXA:xetr,xetr:AIXA,Aixtron AG NA
ALU2:xetr,xetr:ALU2,Arconic Inc. - NOCT
ALV:xetr,xetr:ALV,Allianz SE
AM3D:xetr,xetr:AM3D,SLM Solutions Group AG
AMG:xetr,xetr:AMG,Amgen Inc.
AOF:xetr,xetr:AOF,ATOSS Software AG
AOX:xetr,xetr:AOX,alstria office REIT-AG
APM:xetr,xetr:APM,AD Pepper Media
AR4:xetr,xetr:AR4,Aurelius AG
ARL:xetr,xetr:ARL,Aareal Bank AG
ARO:xetr,xetr:ARO,Arcandor AG
ARRB:xetr,xmun:ARRB,ArcelorMittal SA
ART:xetr,xetr:ART,Artnet AG
AT1:xetr,xetr:AT1,Aroundtown SA
AUS:xetr,xetr:AUS,AT&S Austria Technologie & Systemtechnik AG
AVES:xber,xber:AVES,Aves One AG
AXP:xetr,xetr:AXP,Alexion Pharmaceuticals Inc.
B4B:xetr,xetr:B4B,Metro AG
B5A:xetr,xetr:B5A,Bauer AG
B7E:xetr,xetr:B7E,Blue Cap AG
B8A:xetr,xetr:B8A,Bavaria Industries Group AG
B8F:xetr,xetr:B8F,Biofrontera AG
BAS:xetr,xetr:BAS,BASF N
BAYA:xetr,xetr:BAYA,Bayer AG
BAYN:xetr,xetr:BAYN,Bayer AG
BC8:xetr,xetr:BC8,Bechtle AG
BCY:xetr,xetr:BCY,Barclays Plc
BDT:xetr,xetr:BDT,Bertrandt AG
BEI:xetr,xetr:BEI,Beiersdorf AG
BEZ:xetr,xetr:BEZ,Berentzen-Gruppe AG
BFSA:xetr,xfra:BFSA,Befesa SA
BIJ:xetr,xetr:BIJ,Bijou Brigitte Modische Accessoires AG
BIL:xetr,xetr:BIL,BHP Billiton Plc
BIO:xetr,xetr:BIO,Biotest AG St
BIO3:xetr,xetr:BIO3,Biotest AG Vz
BMT:xetr,xetr:BMT,British American Tobacco Plc
BMW:xetr,xetr:BMW,BMW AG
