,Name,Ticker
01072:xhkg,Dongfang Electric Corp. Ltd,xhkg:01072
00001:xhkg,CK Hutchison Holdings Ltd,xhkg:00001
00003:xhkg,The Hong Kong and China Gas Co. Ltd,xhkg:00003
00004:xhkg,Wharf (Holdings) Ltd change,xhkg:00004
00005:xhkg,HSBC Holdings Plc,xhkg:00005
00006:xhkg,Power Assets Holdings Ltd,xhkg:00006
00007:xhkg,Hoifu Energy Group Ltd,xhkg:00007
00008:xhkg,PCCW Ltd,xhkg:00008
00009:xhkg,Nine Express Ltd,xhkg:00009
00010:xhkg,Hang Lung Group Ltd,xhkg:00010
00011:xhkg,Hang Seng Bank Ltd,xhkg:00011
00012:xhkg,Henderson Land Development Co Ltd,xhkg:00012
00014:xhkg,Hysan Development Co. Ltd,xhkg:00014
00016:xhkg,Sun Hung Kai Properties Ltd,xhkg:00016
00017:xhkg,New World Development Co. Ltd,xhkg:00017
00019:xhkg,Swire Pacific Ltd A,xhkg:00019
00020:xhkg,Wheelock and Co. Ltd,xhkg:00020
00023:xhkg,Bank of East Asia Ltd,xhkg:00023
00025:xhkg,Chevalier International Holdings Ltd,xhkg:00025
00027:xhkg,Galaxy Entertainment Group Ltd,xhkg:00027
00028:xhkg,Tian An China Investments Co. Ltd,xhkg:00028
00029:xhkg,Dynamic Holdings Ltd,xhkg:00029
00031:xhkg,China Aerospace International Holdings Ltd,xhkg:00031
00032:xhkg,Cross-Harbour (Holdings) Ltd,xhkg:00032
00034:xhkg,Kowloon Development Company Ltd,xhkg:00034
00035:xhkg,Far East Consortium International Ltd,xhkg:00035
00036:xhkg,Far East Holdings International Ltd,xhkg:00036
00038:xhkg,First Tractor Co. Ltd,xhkg:00038
00039:xhkg,China Beidahuang Industry Grp Holdings Ltd,xhkg:00039
00040:xhkg,Gold Peak Industries (Holdings) Ltd,xhkg:00040
00041:xhkg,Great Eagle Holdings Ltd,xhkg:00041
00042:xhkg,Northeast Electric Development Co. Ltd,xhkg:00042
00043:xhkg,C.P. Pokphand Co. Ltd,xhkg:00043
00044:xhkg,Hong Kong Aircraft Engineering Co. Ltd,xhkg:00044
00045:xhkg,Hong Kong and Shanghai Hotels Ltd,xhkg:00045
00046:xhkg,Computer and Technologies Holdings Ltd,xhkg:00046
00047:xhkg,Hop Hing Group Holdings Ltd,xhkg:00047
00051:xhkg,Harbour Centre Development Ltd,xhkg:00051
00052:xhkg,Fairwood Holdings Ltd,xhkg:00052
00053:xhkg,Guoco Group Ltd,xhkg:00053
00054:xhkg,Hopewell Holdings Ltd,xhkg:00054
00056:xhkg,Allied Properties (HK) Ltd,xhkg:00056
00057:xhkg,Chen Hsong Holdings Ltd,xhkg:00057
00058:xhkg,Sunway International Holdings Ltd,xhkg:00058
00062:xhkg,Transport Intl Holdings Ltd,xhkg:00062
00064:xhkg,Get Nice Holdings Ltd,xhkg:00064
00065:xhkg,Grand Ocean Advanced Resources Co LTD,xhkg:00065
00066:xhkg,MTR Corporation Ltd,xhkg:00066
00067:xhkg,Lumena Resources Corp. - NOCT,xhkg:00067
00069:xhkg,Shangri-La Asia Ltd,xhkg:00069
00071:xhkg,Miramar Hotel & Investment Co Ltd,xhkg:00071
00073:xhkg,Asian Citrus Holdings Ltd - NOCT,xhkg:00073
00075:xhkg,Y.T. Realty Group Ltd,xhkg:00075
00076:xhkg,South Sea Petroleum Holdings Ltd,xhkg:00076
00078:xhkg,Regal Hotels International Holdings Ltd,xhkg:00078
00081:xhkg,China Overseas Grand Oceans Group Ltd,xhkg:00081
00082:xhkg,V1 Group Ltd,xhkg:00082
00083:xhkg,Sino Land Co. Ltd,xhkg:00083
00085:xhkg,China Electronics Huda Technology Co Ltd,xhkg:00085
00086:xhkg,Sun Hung Kai & Co. Ltd,xhkg:00086
00087:xhkg,Swire Pacific Ltd B,xhkg:00087
00088:xhkg,Tai Cheung Holdings Ltd,xhkg:00088
00090:xhkg,Amber Energy Ltd,xhkg:00090
00091:xhkg,International Standard Resources Holdings Ltd,xhkg:00091
00094:xhkg,Greenheart Group Ltd,xhkg:00094
00095:xhkg,LVGEM (China) Real Estate Investment Co Ltd,xhkg:00095
00097:xhkg,Henderson Investment Ltd,xhkg:00097
00100:xhkg,Clear Media Ltd,xhkg:00100
00101:xhkg,Hang Lung Properties Ltd,xhkg:00101
00102:xhkg,Summit Ascent Holdings Ltd,xhkg:00102
00103:xhkg,Shougang Concord Century Holdings Ltd,xhkg:00103
00107:xhkg,Sichuan Expressway Co. Ltd,xhkg:00107
00109:xhkg,Good Resources Holding Ltd,xhkg:00109
00110:xhkg,China Fortune Holdings Ltd,xhkg:00110
00113:xhkg,Dickson Concepts,xhkg:00113
00114:xhkg,Herald Holdings Ltd,xhkg:00114
00116:xhkg,Chow Sang Sang Holdings International,xhkg:00116
00119:xhkg,Poly Property Group Co Ltd,xhkg:00119
00120:xhkg,Cosmopolitan International Holdings Ltd,xhkg:00120
00121:xhkg,C.P. Lotus Corp.,xhkg:00121
00123:xhkg,Yuexiu Property Co. Ltd,xhkg:00123
00125:xhkg,Sun Hing Vision Group Holdings Ltd,xhkg:00125
00126:xhkg,Carrianna Group Holdings Co. Ltd,xhkg:00126
00127:xhkg,Chinese Estates Holdings,xhkg:00127
00129:xhkg,Asia Standard International Group Ltd,xhkg:00129
00133:xhkg,China Merchants China Direct Investments Ltd,xhkg:00133
00135:xhkg,KUNLUN ENERGY,xhkg:00135
00136:xhkg,HengTen Networks Group Ltd,xhkg:00136
00137:xhkg,Jinhui Holdings Ltd,xhkg:00137
00139:xhkg,China Soft Power Technology Holdings Ltd,xhkg:00139
00141:xhkg,Great China Holdings Ltd,xhkg:00141
00142:xhkg,First Pacific Company Limited,xhkg:00142
00143:xhkg,Guoan International Ltd,xhkg:00143
00144:xhkg,China Merchants Port Holdings,xhkg:00144
00147:xhkg,International Business Settlement Holdings Ltd,xhkg:00147
00148:xhkg,Kingboard Chemical Holdings Ltd,xhkg:00148
00149:xhkg,China Agri-Products Exchange Ltd,xhkg:00149
00151:xhkg,Want Want China Holdings Ltd,xhkg:00151
00152:xhkg,Shenzhen International Holdings Ltd,xhkg:00152
00153:xhkg,China Saite Group Co Ltd,xhkg:00153
00154:xhkg,Beijing Enterprises Environment Group Ltd,xhkg:00154
00155:xhkg,China Solar Energy Holdings Ltd,xhkg:00155
00157:xhkg,Natural Beauty Bio-Technology Limited,xhkg:00157
00161:xhkg,AVIC International Holdings Ltd,xhkg:00161
00162:xhkg,Century Ginwa Retail Holdings Ltd,xhkg:00162
00163:xhkg,Emperor International Holdings Ltd,xhkg:00163
00164:xhkg,China Baoli Technologies Holdings ltd,xhkg:00164
00165:xhkg,China Everbright Ltd,xhkg:00165
00167:xhkg,IDT International Ltd,xhkg:00167
00168:xhkg,Tsingtao Brewery Co. Ltd,xhkg:00168
00169:xhkg,Wanda Hotel Development Co Ltd,xhkg:00169
00171:xhkg,Silver Grant International Industries Ltd,xhkg:00171
00173:xhkg,K Wah International Holdings Ltd,xhkg:00173
00177:xhkg,Jiangsu Expressway Co. Ltd,xhkg:00177
00178:xhkg,Sa Sa International Holdings Ltd,xhkg:00178
00179:xhkg,Johnson Electric Holdings Ltd,xhkg:00179
00182:xhkg,Concord New Energy Group Ltd,xhkg:00182
00183:xhkg,Winfull Group Holdings Ltd,xhkg:00183
00184:xhkg,Keck Seng Investments (Hong Kong) Ltd,xhkg:00184
00187:xhkg,Beijing Jingcheng Machinery Electric Co Ltd,xhkg:00187
00190:xhkg,HKC (Holdings) Ltd,xhkg:00190
00191:xhkg,Lai Sun Garment (International),xhkg:00191
00194:xhkg,Liu Chong Hing Investment Ltd,xhkg:00194
00195:xhkg,GreenTech Intl.,xhkg:00195
