Name,,Category Name,Ticker
A2A,A2A,7530 (Electricity)[citation needed],XMIL:A2A
Anima,ANIM,8770 (Financial Services)[citation needed],XMIL:ANIM
Atlantia,ATL,2770 (Industrial Transportation)[citation needed],XMIL:ATL
Azimut,AZM,8770 (Financial Services)[citation needed],XMIL:AZM
Banca Mediolanum,BMED,8570 (Life Insurance/Assurance)[citation needed],XMIL:BMED
Banca Monte dei Paschi di Siena,BMPS,8350 (Banks)[citation needed],XMIL:BMPS
Banca Popolare dell'Emilia Romagna,BPE,8350 (Banks)[citation needed],XMIL:BPE
Banca Popolare di Milano,PMI,8350 (Banks)[citation needed],XMIL:PMI
Buzzi Unicem,BZU,2350 (Construction & Materials)[citation needed],XMIL:BZU
Campari,CPR,3530 (Beverages)[citation needed],XMIL:CPR
CNH Industrial,CNHI,2700 Industrial Goods & Services,XMIL:CNHI
Enel,ENEL,7530 (Electricity)[citation needed],XMIL:ENEL
Eni,ENI,0530 (Oil & Gas Producers)[citation needed],XMIL:ENI
Exor,EXO,8770 (Financial Services)[citation needed],XMIL:EXO
Ferrari,RACE,(Automobiles & Parts)[citation needed],XMIL:RACE
Fiat Chrysler Automobiles,FCA,(Automobiles & Parts)[citation needed],XMIL:FCA
FinecoBank,FBK,8350 (Banks)[citation needed],XMIL:FBK
Generali,G,8530 (Nonlife Insurance)[citation needed],XMIL:G
Intesa Sanpaolo,ISP,8350 (Banks)[citation needed],XMIL:ISP
Italcementi,IT,8350 (Building materials)[citation needed],XMIL:IT
Leonardo-Finmeccanica,LDO,2710 (Aerospace & Defense)[citation needed],XMIL:LDO
Luxottica,LUX,3760 (Personal Goods)[citation needed],XMIL:LUX
Mediaset,MS,5550 (Media)[citation needed],XMIL:MS
Mediobanca,MB,8350 (Banks)[citation needed],XMIL:MB
Moncler,MONC,3760 (Personal Goods)[citation needed][2][3],XMIL:MONC
Poste italiane,PST,3350 (Nonlife Insurance)[citation needed],XMIL:PST
Prysmian,PRY,2730 (Electronic & Electrical Equipment)[citation needed],XMIL:PRY
Saipem,SPM,0570 (Oil Equipment Services & Distribution)[citation needed],XMIL:SPM
Salvatore Ferragamo,SFER,3760 (Personal Goods)[citation needed],XMIL:SFER
Snam,SRG,7570 (Gas Water & Multiutilities)[citation needed],XMIL:SRG
STMicroelectronics,STM,9570 (Technology Hardware & Equipment)[citation needed],XMIL:STM
Telecom Italia,TIT,6530 (Fixed Line Telecommunications)[citation needed],XMIL:TIT
Tenaris,TEN,1750 (Industrial Metals & Mining)[citation needed],XMIL:TEN
Terna,TRN,7530 (Electricity)[citation needed],XMIL:TRN
UBI Banca,UBI,8350 (Banks)[citation needed],XMIL:UBI
UniCredit,UCG,8350 (Banks)[citation needed],XMIL:UCG
Unipol,UNI,8530 (Nonlife Insurance)[citation needed],XMIL:UNI
UnipolSai,US,8530 (Nonlife Insurance)[citation needed],XMIL:US
YOOX Net a Porter,YNAP,,XMIL:YNAP
