,Name,Category Name,,Ticker
AST.MI,Astaldi S.p.A.,General Contractors,AST,xmil:AST
AE.MI,Aedes SIIQ S.p.A.,Real Estate Development,AE,xmil:AE
A2A.MI,A2A S.p.A.,Diversified Utilities,A2A,xmil:A2A
BMPS.MI,Banca Monte dei Paschi di Siena S.p.A.,,BMPS,xmil:BMPS
UBI.MI,Unione di Banche Italiane S.p.A.,Money Center Banks,UBI,xmil:UBI
PMI.MI,Banca Popolare di Milano Scarl,,PMI,xmil:PMI
BZU.MI,Buzzi Unicem SpA,General Building Materials,BZU,xmil:BZU
EOAN.MI,E.ON SE,Diversified Utilities,EOAN,xmil:EOAN
DNN.MI,Danone,Food - Major Diversified,DNN,xmil:DNN
DMN.MI,Damiani S.p.A.,Jewelry Stores,DMN,xmil:DMN
DAL.MI,Datalogic S.p.A.,Diversified Electronics,DAL,xmil:DAL
SPO.MI,BCA POP DI SPOLETO,,SPO,xmil:SPO
SIE.MI,Siemens Aktiengesellschaft,Diversified Machinery,SIE,xmil:SIE
SAP.MI,SAP SE,Technical & System Software,SAP,xmil:SAP
DBK.MI,Deutsche Bank Aktiengesellschaft,Money Center Banks,DBK,xmil:DBK
DAI.MI,Daimler AG,Auto Manufacturers - Major,DAI,xmil:DAI
CPR.MI,Davide Campari-Milano S.p.A.,Beverages - Wineries & Distillers,CPR,xmil:CPR
BPSO.MI,Banca Popolare di Sondrio S.C.p.A.,Money Center Banks,BPSO,xmil:BPSO
BIM.MI,Banca Intermobiliare di Investimenti e Gestioni SpA,Money Center Banks,BIM,xmil:BIM
ALV.MI,Allianz SE,Property & Casualty Insurance,ALV,xmil:ALV
TAS.MI,TAS Tecnologia Avanzata dei Sistemi S.p.A.,Business Software & Services,TAS,xmil:TAS
MUV2.MI,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft,Property & Casualty Insurance,MUV2,xmil:MUV2
LD.MI,La Doria SpA,Food - Major Diversified,LD,xmil:LD
