,Name,Ticker
6952:xtks,Casio Computer Co. Ltd,xtks:6952
06464:xtks,Tsubaki Nakashima Co Ltd,xtks:6464
1333:xtks,Maruha Nichiro Seafoods Inc.,xtks:1333
1376:xtks,Kaneko Seeds Co Ltd,xtks:1376
1377:xtks,Sakata Seed Corp.,xtks:1377
1384:xtks,Hokuryo Co.Ltd,xtks:1384
1400:xtks,Ruden Holdings Co. Ltd,xtks:1400
1417:xtks,Mirait Holdings Corp.,xtks:1417
1433:xtks,Besterra Co Ltd,xtks:1433
1436:xtks,Fit Inc.,xtks:1436
1515:xtks,Nittetsu Mining Co Ltd,xtks:1515
1518:xtks,Mitsui Matsushima Co. Ltd,xtks:1518
1605:xtks,Inpex Corp.,xtks:1605
1606:xtks,Japan Drilling Co Ltd,xtks:1606
1662:xtks,Japan Petroleum Exploration Co. Ltd,xtks:1662
1716:xtks,Dai-Ichi Cutter Kogyo KK,xtks:1716
1721:xtks,Comsys Holdings,xtks:1721
1722:xtks,Misawa Homes Co. Ltd,xtks:1722
1737:xtks,MESCO Inc.,xtks:1737
1758:xtks,Taiyo Kisokogyo Co Ltd,xtks:1758
1766:xtks,TOKEN Corp.,xtks:1766
1770:xtks,Fujita Engineering Co Ltd,xtks:1770
1775:xtks,FUJI Furukawa Engineering & Construction Co. Ltd,xtks:1775
1776:xtks,SUMIKEN Mistui Road Co. Ltd,xtks:1776
1788:xtks,Santo Co Ltd,xtks:1788
1793:xtks,Ohmoto Gumi Co. Ltd,xtks:1793
1799:xtks,DAIICHI Kensetsu Corp.,xtks:1799
1801:xtks,Taisei Corp.,xtks:1801
1802:xtks,Obayashi Corp.,xtks:1802
1803:xtks,Shimizu Corp.,xtks:1803
1808:xtks,Haseko Corp.,xtks:1808
1811:xtks,Zenitaka Corp.,xtks:1811
1812:xtks,Kajima Corp.,xtks:1812
1821:xtks,Sumitomo Mitsui Construction Co. Ltd,xtks:1821
1827:xtks,Nakano Corp.,xtks:1827
1861:xtks,Kumagai Gumi Co. Ltd,xtks:1861
1870:xtks,Yahagi Construction Co Ltd,xtks:1870
1878:xtks,Daito Trust Construction Co. Ltd,xtks:1878
1879:xtks,Shinnihon Corp.,xtks:1879
1884:xtks,The Nippon Road Co. Ltd,xtks:1884
1885:xtks,Toa Corp.,xtks:1885
1898:xtks,Seikitokyu Kogyo Co Ltd,xtks:1898
1904:xtks,TAISEI ONCHO CO LTD,xtks:1904
1909:xtks,Nippon Dry-Chemical Co Ltd,xtks:1909
1911:xtks,Sumitomo Forestry Co Ltd,xtks:1911
1925:xtks,Daiwa House Industry Co. Ltd,xtks:1925
1928:xtks,Sekisui House Ltd,xtks:1928
1930:xtks,Hokuriku Electrical Construction Co Ltd,xtks:1930
1938:xtks,Nippon Rietec Co. Ltd,xtks:1938
1944:xtks,KINDEN Corp.,xtks:1944
1949:xtks,Sumitomo Densetsu Co. Ltd,xtks:1949
1960:xtks,Sanyo Engineering & Construction Inc.,xtks:1960
1963:xtks,JGC Corporation,xtks:1963
1964:xtks,Chugai Ro Co Ltd,xtks:1964
1967:xtks,Yamato Corp.,xtks:1967
1983:xtks,Toshiba Plant Systems & Services Corp.,xtks:1983
1987:xtks,SOLCOM Co. Ltd,xtks:1987
1994:xtks,Takahashi Curtain Wall Corp.,xtks:1994
1997:xtks,Akatsuki Eazima Co Ltd,xtks:1997
2002:xtks,Nisshin Seifun Group Inc.,xtks:2002
2055:xtks,Nichiwa Sangyo Co Ltd,xtks:2055
2121:xtks,mixi Inc.,xtks:2121
2124:xtks,JAC Recruitment Co Ltd,xtks:2124
2127:xtks,Nihon M&A Center Inc.,xtks:2127
2146:xtks,UT Holdings Co. Ltd,xtks:2146
2152:xtks,Youji Corp.,xtks:2152
2157:xtks,KOSHIDAKA HOLDINGS Co Ltd,xtks:2157
2163:xtks,Artner Co Ltd,xtks:2163
2168:xtks,Pasona Group Inc.,xtks:2168
2174:xtks,GCA Corp.,xtks:2174
2175:xtks,SMS Co Ltd,xtks:2175
2181:xtks,PERSOL HOLDINGS CO. LTD,xtks:2181
2193:xtks,COOKPAD Inc.,xtks:2193
2206:xtks,Ezaki Glico Co. Ltd,xtks:2206
2212:xtks,Yamazaki Baking Co. Ltd,xtks:2212
2217:xtks,Morozoff Ltd,xtks:2217
2220:xtks,Kameda Seika Co Ltd,xtks:2220
2221:xtks,Iwatsuka Confectionery Co Ltd,xtks:2221
2222:xtks,kotobuki Spirits Co. Ltd,xtks:2222
2229:xtks,Calbee Inc.,xtks:2229
2264:xtks,Morinaga Milk Industry Co. Ltd,xtks:2264
2266:xtks,Rokko Butter Co Ltd,xtks:2266
2267:xtks,Yakult Honsha Co. Ltd,xtks:2267
2269:xtks,MEIJI Holdings Co. Ltd,xtks:2269
2282:xtks,NH Foods Ltd,xtks:2282
2301:xtks,GAKUJO Co. Ltd,xtks:2301
2305:xtks,Studio Alice Co. Ltd,xtks:2305
2315:xtks,CAICA Inc.,xtks:2315
2329:xtks,Tohokushinsha Film Corp.,xtks:2329
2331:xtks,Sohgo Security Services Co. Ltd,xtks:2331
2340:xtks,Gokurakuyu Holdings Co. Ltd,xtks:2340
2341:xtks,Arbeit -Times Co Ltd,xtks:2341
2344:xtks,Heian Ceremony Service Co Ltd,xtks:2344
2349:xtks,Nippon Information Development Co. Ltd,xtks:2349
2352:xtks,AZIA Co. Ltd,xtks:2352
2372:xtks,I'rom Group Co. Ltd,xtks:2372
2376:xtks,SCINEX Corp.,xtks:2376
2379:xtks,DIP corp.,xtks:2379
2398:xtks,Tsukui Corp.,xtks:2398
2408:xtks,KG Intelligence Co Ltd,xtks:2408
2413:xtks,M3 Inc.,xtks:2413
2429:xtks,World Holdings Co. Ltd,xtks:2429
2432:xtks,DeNA Co. Ltd,xtks:2432
2433:xtks,Hakuhodo Dy Holdings Inc.,xtks:2433
2440:xtks,Gurunavi Inc.,xtks:2440
2449:xtks,PRAP Japan Inc.,xtks:2449
2461:xtks,F@N Communications Inc.,xtks:2461
2475:xtks,WDB HOLDINGS CO LTD,xtks:2475
2501:xtks,Sapporo Breweries Ltd,xtks:2501
2502:xtks,Asahi Breweries Holdings Ltd,xtks:2502
2503:xtks,Kirin Holdings Ltd,xtks:2503
2531:xtks,Takara Holdings Inc.,xtks:2531
2587:xtks,Suntory Beverage & Food Ltd,xtks:2587
2588:xtks,Water Direct Corp.,xtks:2588
2593:xtks,ITO EN Ltd,xtks:2593
2602:xtks,Nisshin OilliO Group Ltd,xtks:2602
2651:xtks,Lawson Inc.,xtks:2651
2659:xtks,SAN-A CO Ltd,xtks:2659
2678:xtks,ASKUL Corp.,xtks:2678
2681:xtks,Geo Holdings Corp.,xtks:2681
2702:xtks,McDonald's Holdings Co (Japan) Ltd,xtks:2702
2714:xtks,Pla Matels Corp.,xtks:2714
2715:xtks,Elematec Corp.,xtks:2715
2733:xtks,ARATA Corp.,xtks:2733
2737:xtks,Tomen Devices Corp.,xtks:2737
2753:xtks,Amiyaki TEI Co. Ltd,xtks:2753
2754:xtks,TOKATSU Holdings Co. Ltd,xtks:2754
2763:xtks,FT Communications Co Ltd,xtks:2763
2768:xtks,Sojitz Holdings,xtks:2768
2784:xtks,Alfresa Holdings Corp.,xtks:2784
2791:xtks,DAIKOKUTENBUSSAN Co. Ltd,xtks:2791
2801:xtks,Kikkoman Corp.,xtks:2801
2802:xtks,Ajinomoto Co. Inc.,xtks:2802
2809:xtks,Kewpie Corp.,xtks:2809
2871:xtks,Nichirei Corp.,xtks:2871
2875:xtks,Toyo Suisan Kaisha Ltd,xtks:2875
2897:xtks,Nissin Foods Holdings Co. Ltd,xtks:2897
2914:xtks,Japan Tobacco Inc.,xtks:2914
2925:xtks,Pickles Corp.,xtks:2925
3048:xtks,Bic Camera Inc.,xtks:3048
3086:xtks,J.Front Retailing Co. Ltd,xtks:3086
3092:xtks,START TODAY Co. Ltd,xtks:3092
3099:xtks,Isetan Mitsukoshi Holdings Ltd,xtks:3099
3101:xtks,Toyobo Co. Ltd,xtks:3101
3103:xtks,Unitika Ltd,xtks:3103
3105:xtks,Nisshinbo Industries Inc.,xtks:3105
3110:xtks,Nitto Boseki Co. Ltd,xtks:3110
3116:xtks,Toyota Boshoku Corp.,xtks:3116
3134:xtks,Hamee Corp.,xtks:3134
3151:xtks,Vital KSK Holdings Inc.,xtks:3151
3156:xtks,UKC Holdings Corp.,xtks:3156
3191:xtks,Joyful Honda Co Ltd,xtks:3191
3192:xtks,Shirohato Co Ltd,xtks:3192
3197:xtks,Skylark Co. Ltd,xtks:3197
3231:xtks,Nomura Real Estate Holdings Inc.,xtks:3231
3234:xtks,MORI HILLS REIT INVESTMENT Corp.,xtks:3234
3241:xtks,Will Co Ltd,xtks:3241
3249:xtks,Industrial & Infrastructure Fund Investment Corp.,xtks:3249
3269:xtks,Advance Residence Investment Corp.,xtks:3269
3281:xtks,GLP J REIT,xtks:3281
3282:xtks,Comforia Residential REIT Inc.,xtks:3282
3287:xtks,Hoshino Resorts REIT Inc.,xtks:3287
3288:xtks,Open House Co. Ltd,xtks:3288
3289:xtks,Tokyu Fudosan Holdings Corp.,xtks:3289
3291:xtks,Iida Group Holdings Co Ltd,xtks:3291
3296:xtks,NIPPON REIT Investment Corp.,xtks:3296
3341:xtks,Nihon Chouzai Co. Ltd,xtks:3341
3360:xtks,Ship HealthCare Holdings Inc.,xtks:3360
3361:xtks,Toell Co Ltd,xtks:3361
3376:xtks,Only corp.,xtks:3376
3382:xtks,Seven & I Holdings Co. Ltd,xtks:3382
3391:xtks,TSURUHA HOLDINGS Inc.,xtks:3391
3396:xtks,FELISSIMO Corp.,xtks:3396
3397:xtks,Toridoll Holdings Corp.,xtks:3397
3401:xtks,Teijin Ltd,xtks:3401
3402:xtks,Toray Industries Inc.,xtks:3402
3405:xtks,Kuraray Co. Ltd,xtks:3405
3407:xtks,Asahi Kasei Corp.,xtks:3407
3408:xtks,Sakai Ovex Co.Ltd,xtks:3408
3426:xtks,Atom Livin Tech Co. Ltd,xtks:3426
3436:xtks,Sumco Corp.,xtks:3436
3443:xtks,KAWADA TECHNOLOGIES Inc.,xtks:3443
3458:xtks,"CRE, Inc.",xtks:3458
3529:xtks,Atsugi Co Ltd,xtks:3529
3548:xtks,Baroque Japan Ltd,xtks:3548
3569:xtks,Seiren Co Ltd,xtks:3569
3593:xtks,Hogy Medical Co. Ltd,xtks:3593
3630:xtks,Densan System Co. Ltd,xtks:3630
3632:xtks,Gree Inc.,xtks:3632
3641:xtks,Papyless Co. Ltd,xtks:3641
3656:xtks,KLab Inc.,xtks:3656
3659:xtks,NEXON Co Ltd,xtks:3659
3660:xtks,istyle Inc.,xtks:3660
3667:xtks,Enish Inc.,xtks:3667
3668:xtks,COLOPL Inc.,xtks:3668
3673:xtks,Broadleaf Co. Ltd,xtks:3673
3681:xtks,"V-cube, Inc.",xtks:3681
3688:xtks,Voyage Group Inc.,xtks:3688
3692:xtks,FFRI Inc.,xtks:3692
3694:xtks,Optim Corp.,xtks:3694
3712:xtks,Information Planning Co. Ltd,xtks:3712
3723:xtks,Nihon Falcom Corp.,xtks:3723
3733:xtks,Software Service Inc.,xtks:3733
3738:xtks,T-Gaia Corp.,xtks:3738
3760:xtks,Cave Interactive Co. Ltd,xtks:3760
3765:xtks,GungHo Online Entertainment Inc.,xtks:3765
3766:xtks,Systems Design Co Ltd,xtks:3766
3771:xtks,System Research Co. Ltd,xtks:3771
3782:xtks,DDS Inc.,xtks:3782
3794:xtks,ND Software Co Ltd,xtks:3794
3810:xtks,CyberStep Inc.,xtks:3810
3817:xtks,SRA Holdings Inc.,xtks:3817
3825:xtks,Remixpoint Inc.,xtks:3825
3834:xtks,Asahi Net Inc.,xtks:3834
3837:xtks,Ad-Sol Nissin Corp.,xtks:3837
3848:xtks,Data Applications Co. Ltd,xtks:3848
3861:xtks,OJI Paper Co. Ltd,xtks:3861
3863:xtks,Nippon Paper Industries Co Ltd,xtks:3863
3864:xtks,Mitsubishi Paper Mills Ltd,xtks:3864
3865:xtks,Hokuetsu Paper Mills Ltd,xtks:3865
3892:xtks,Okayama Paper Industries Co. Ltd,xtks:3892
3901:xtks,MarkLines Co. Ltd,xtks:3901
3911:xtks,Aiming Inc.,xtks:3911
3914:xtks,Jig-Saw Inc.,xtks:3914
3921:xtks,Neojapan Inc.,xtks:3921
3932:xtks,Akatsuki Inc.,xtks:3932
3938:xtks,LINE Corp.,xtks:3938
3941:xtks,Rengo Co. Ltd,xtks:3941
3944:xtks,Furubayashi Shiko Co. Ltd,xtks:3944
3954:xtks,Showa Paxxs Corp.,xtks:3954
3964:xtks,Aucnet Inc.,xtks:3964
3983:xtks,ORO Co. Ltd,xtks:3983
4004:xtks,Showa Denko K K,xtks:4004
4005:xtks,Sumitomo Chemical Co. Ltd,xtks:4005
4021:xtks,Nissan Chemical Industries Ltd,xtks:4021
4028:xtks,Ishihara Sangyo Kaisha Ltd,xtks:4028
4041:xtks,Nippon Soda Co. Ltd,xtks:4041
4042:xtks,Tosoh Corp.,xtks:4042
4043:xtks,Tokuyama Corp.,xtks:4043
4044:xtks,Central Glass Co Ltd,xtks:4044
4045:xtks,Toagosei Co Ltd,xtks:4045
4047:xtks,Kanto Denka Kogyo Co Ltd,xtks:4047
4061:xtks,Denka Co Ltd,xtks:4061
4062:xtks,IBIDEN Co. Ltd,xtks:4062
4063:xtks,Shin-Etsu Chem,xtks:4063
4092:xtks,Nippon Chemical Industrial Co. Ltd,xtks:4092
4095:xtks,Nihon Parkerizing Co Ltd,xtks:4095
4100:xtks,Toda Kogyo Corp.,xtks:4100
4102:xtks,Maruo Calcium Co. Ltd,xtks:4102
4115:xtks,Honshu Chemical Industry Co Ltd,xtks:4115
4151:xtks,Kyowa Hakko Kogyo Co. Ltd,xtks:4151
4182:xtks,Mitsubishi Gas Chemical Company Inc.,xtks:4182
4183:xtks,Mitsui Chemicals Inc.,xtks:4183
4185:xtks,JSR Corp.,xtks:4185
4186:xtks,Tokyo Ohka Kogyo Co. Ltd,xtks:4186
4188:xtks,Mitsubishi Chemical Holdings Corp.,xtks:4188
4189:xtks,KH Neochem Co. Ltd,xtks:4189
4202:xtks,Daicel Corp.,xtks:4202
4203:xtks,Sumitomo Bakelite Co. Ltd,xtks:4203
4204:xtks,Sekisui Chemical Co. Ltd,xtks:4204
4206:xtks,Aica Kogyo Co. Ltd,xtks:4206
4208:xtks,Ube Industries Ltd,xtks:4208
4212:xtks,Sekisui Jushi Corp.,xtks:4212
4215:xtks,CI Takiron Corp.,xtks:4215
4217:xtks,Hitachi Chemical Company Ltd,xtks:4217
4221:xtks,Okura Industrial Co. Ltd,xtks:4221
4224:xtks,LONSEAL Corp.,xtks:4224
4231:xtks,Tigers Polymer Corp.,xtks:4231
4239:xtks,Polatechno Co. Ltd,xtks:4239
4246:xtks,DaikyoNishikawa Corp.,xtks:4246
4272:xtks,Nippon Kayaku Co. Ltd,xtks:4272
4301:xtks,AMUSE Inc.,xtks:4301
4307:xtks,Nomura Research Institute Ltd,xtks:4307
4318:xtks,Quick Co. Ltd,xtks:4318
4321:xtks,Kenedix Inc.,xtks:4321
4324:xtks,Dentsu,xtks:4324
4365:xtks,Matsumoto Yushi-Seiyaku Co. Ltd,xtks:4365
4452:xtks,Kao Corp.,xtks:4452
4502:xtks,Takeda Pharmaceutical Co. Ltd,xtks:4502
4503:xtks,Astellas Pharma Inc.,xtks:4503
4506:xtks,Dainippon Pharmaceutical Co. Ltd,xtks:4506
4507:xtks,Shionogi & Co. Ltd,xtks:4507
4508:xtks,Mitsubishi Tanabe Pharma Corp.,xtks:4508
4514:xtks,ASKA Pharmaceutical Co Ltd,xtks:4514
4519:xtks,Chugai Pharmaceutical Co. Ltd,xtks:4519
4521:xtks,Kaken Pharmaceutical Co Ltd,xtks:4521
4523:xtks,Eisai Co. Ltd,xtks:4523
4527:xtks,Rohto Pharmaceutical Co Ltd,xtks:4527
4528:xtks,Ono Pharmaceutical Co. Ltd,xtks:4528
