Ticker,Name,,,,
XLON:3IN,3i Infrastructure plc,,,,3IN
XLON:888,888 Holdings,,,,888
XLON:AA.,AA plc,,,,AA.
ASL,Aberforth Smaller Companies Trust,,,,
XLON:ACA,Acacia Mining plc,,,,ACA
XLON:AGK,Aggreko plc,,,,AGK
XLON:AMFW,Amec Foster Wheeler plc,,,,AMFW
XLON:AGR,Assura plc,,,,AGR
XLON:AVV,AVEVA Group plc,,,,AVV
XLON:BBY,Balfour Beatty plc,,,,BBY
XLON:BAG,Barr (A.G.),,,,BAG
XLON:BBA,BBA Aviation plc,,,,BBA
XLON:BEZ,Beazley plc,,,,BEZ
XLON:BWY,Bellway plc,,,,BWY
XLON:BGEO,BGEO Group plc,,,,BGEO
XLON:BYG,Big Yellow Group,,,,BYG
XLON:BOY,Bodycote plc,,,,BOY
XLON:BOK,Booker Group plc,,,,BOK
XLON:BVS,Bovis Homes Group plc,,,,BVS
XLON:BRW,Brewin Dolphin Holdings plc,,,,BRW
XLON:BVIC,Britvic plc,,,,BVIC
XLON:BWNG,Brown (N) Group plc,,,,BWNG
XLON:BTG,BTG plc,,,,BTG
XLON:CNE,Cairn Energy plc,,,,CNE
XLON:CPI,Capita plc,,,,CPI
XLON:CAPC,Capital & Counties Properties plc,,,,CAPC
XLON:CARD,Card Factory plc,,,,CARD
XLON:CEY,Centamin plc,,,,CEY
XLON:CINE,Cineworld Group plc,,,,CINE
XLON:CKN,Clarkson plc,,,,CKN
XLON:CBG,Close Brothers Group plc,,,,CBG
XLON:CLI,CLS Holdings plc,,,,CLI
XLON:COA,Coats Group plc,,,,COA
XLON:COB,Cobham plc,,,,COB
XLON:CCC,Computacenter plc,,,,CCC
XLON:CSP,Countryside Properties Plc,,,,CSP
XLON:CWK,Cranswick plc,,,,CWK
XLON:CRST,Crest Nicholson Holdings plc,,,,CRST
XLON:CYBG,CYBG plc,,,,CYBG
XLON:DJAN,Daejan Holdings plc,,,,DJAN
XLON:DCG,Dairy Crest Group plc,,,,DCG
XLON:DPH,Dechra Pharmaceuticals plc,,,,DPH
XLON:DLN,Derwent London plc,,,,DLN
XLON:DTY,Dignity plc,,,,DTY
XLON:DPLM,Diploma plc,,,,DPLM
XLON:DC.,Dixons Carphone plc,,,,DC.
XLON:DOM,Domino's Pizza Group plc,,,,DOM
XLON:DRX,Drax Group plc,,,,DRX
XLON:DNLM,Dunelm Group Plc,,,,DNLM
XLON:ECM,Electrocomponents plc,,,,ECM
XLON:ELM,Elementis plc,,,,ELM
XLON:ETO,Entertainment One Ltd,,,,ETO
XLON:EQN,Equiniti Group plc,,,,EQN
XLON:ESNT,Essentra Plc,,,,ESNT
XLON:ESUR,esure Group plc,,,,ESUR
XLON:ERM,Euromoney Institutional Investors plc,,,,ERM
XLON:EVR,Evraz plc,,,,EVR
XLON:FDM,FDM Group plc,,,,FDM
XLON:FXPO,Ferrexpo plc,,,,FXPO
XLON:FDSA,Fidessa Group Plc,,,,FDSA
XLON:FGP,FirstGroup plc,,,,FGP
XLON:GFRD,Galliford Try Plc,,,,GFRD
XLON:GNS,Genus plc,,,,GNS
XLON:GOG,Go Ahead Group,,,,GOG
XLON:GFTU,Grafton Group,,,,GFTU
XLON:GRI,Grainger Plc,,,,GRI
XLON:GPOR,Great Portland Estates,,,,GPOR
XLON:GNC,Greencore Group plc,,,,GNC
XLON:GNK,Greene King,,,,GNK
XLON:GRG,Greggs Plc,,,,GRG
XLON:GVC,GVC Holdings plc,,,,GVC
XLON:HFD,Halfords,,,,HFD
XLON:HLMA,Halma plc,,,,HLMA
XLON:HSTN,Hansteen Holdings,,,,HSTN
XLON:HSTG,Hastings Group Holdings plc,,,,HSTG
XLON:HAS,Hays plc,,,,HAS
XLON:HIK,Hikma Pharmaceuticals,,,,HIK
XLON:HILS,Hill & Smith Holdings plc.,,,,HILS
XLON:HSX,Hiscox Ltd,,,,HSX
XLON:HOC,Hochschild Mining Plc,,,,HOC
XLON:HSV,Homeserve plc,,,,HSV
XLON:HWDN,Howden Joinery Group Plc,,,,HWDN
XLON:HTG,Hunting plc,,,,HTG
XLON:IBST,Ibstock plc,,,,IBST
XLON:IGG,IG Group Holdings Plc,,,,IGG
XLON:IMI,IMI plc,,,,IMI
XLON:INCH,Inchcape plc,,,,INCH
XLON:INDV,Indivior plc,,,,INDV
XLON:ISAT,Inmarsat Plc,,,,ISAT
XLON:ICP,Intermediate Capital Group plc,,,,ICP
XLON:INTU,Intu Properties plc,,,,INTU
XLON:INVP,Investec Plc,,,,INVP
XLON:IPO,IP Group Plc,,,,IPO
XLON:IWG,IWG plc,,,,IWG
XLON:JDW,J D Wetherspoon plc,,,,JDW
XLON:FSJ,James Fisher & Sons plc,,,,FSJ
XLON:JLT,Jardine Lloyd Thompson Group plc,,,,JLT
XLON:JD.,JD Sports Fashion plc,,,,JD.
XLON:CHOO,Jimmy Choo plc,,,,CHOO
XLON:JLG,John Laing Group plc,,,,JLG
XLON:JUP,Jupiter Fund Management PLC,,,,JUP
XLON:JE.,Just Eat plc,,,,JE.
XLON:JUST,Just Group plc,,,,JUST
XLON:KAZ,KAZ Minerals plc,,,,KAZ
XLON:KIE,Kier Group plc,,,,KIE
XLON:LCL,Ladbrokes Coral Group plc,,,,LCL
XLON:LRE,Lancashire Holdings,,,,LRE
XLON:LMP,LondonMetric Property plc,,,,LMP
XLON:EMG,Man Group,,,,EMG
XLON:MSLH,Marshalls Plc,,,,MSLH
XLON:MARS,Marstons plc,,,,MARS
XLON:MCS,McCarthy & Stone plc,,,,MCS
XLON:MGGT,Meggitt,,,,MGGT
XLON:MRO,Melrose Industries plc,,,,MRO
XLON:MTRO,Metro Bank plc,,,,MTRO
XLON:MLC,Millennium & Copthorne Hotels plc,,,,MLC
XLON:MAB,Mitchells & Butlers Plc,,,,MAB
XLON:MTO,Mitie Group,,,,MTO
XLON:MONY,Moneysupermarket.Com,,,,MONY
XLON:MGAM,Morgan Advanced Materials plc,,,,MGAM
XLON:NEX,National Express,,,,NEX
XLON:NRR,NewRiver REIT plc,,,,NRR
XLON:NXG,NEX Group Plc,,,,NXG
XLON:NOG,Nostrum Oil & Gas plc,,,,NOG
XLON:OCDO,Ocado Group plc,,,,OCDO
XLON:OSB,OneSavings Bank plc,,,,OSB
XLON:PAGE,PageGroup plc,,,,PAGE
XLON:PAG,Paragon Banking Group plc,,,,PAG
XLON:PAY,Paypoint Plc,,,,PAY
XLON:PAYS,Paysafe Group plc,,,,PAYS
XLON:PNN,Pennon Group,,,,PNN
XLON:PFC,Petrofac,,,,PFC
XLON:PETS,Pets At Home Group PLC,,,,PETS
XLON:PHNX,Phoenix Group Holdings,,,,PHNX
XLON:PTEC,Playtech plc,,,,PTEC
XLON:POLY,Polymetal International plc,,,,POLY
XLON:PLP,Polypipe Group plc,,,,PLP
XLON:PFG,Provident Financial plc,,,,PFG
XLON:PZC,PZ Cussons Plc,,,,PZC
XLON:QQ.,QinetiQ Group plc,,,,QQ.
XLON:RNK,Rank Group,,,,RNK
XLON:RAT,Rathbone Brothers plc,,,,RAT
XLON:RDW,Redrow plc,,,,RDW
XLON:RSW,Renishaw plc,,,,RSW
XLON:RTN,Restaurant Group,,,,RTN
XLON:RMV,Rightmove plc,,,,RMV
XLON:ROR,Rotork plc,,,,ROR
XLON:RMG,Royal Mail PLC,,,,RMG
XLON:RPC,RPC Group plc,,,,RPC
XLON:SAFE,Safestore Holdings,,,,SAFE
XLON:SAGA,Saga plc,,,,SAGA
XLON:SNN,Sanne Group plc,,,,SNN
XLON:SVS,Savills plc,,,,SVS
XLON:SNR,Senior plc,,,,SNR
XLON:SRP,Serco Group plc,,,,SRP
XLON:SHB,Shaftesbury,,,,SHB
XLON:SHI,Sig plc,,,,SHI
XLON:SXX,Sirius Minerals plc,,,,SXX
XLON:SMDS,Smith (DS),,,,SMDS
XLON:SCT,Softcat plc,,,,SCT
XLON:SOPH,Sophos Group plc,,,,SOPH
XLON:SXS,Spectris plc,,,,SXS
XLON:SPX,Spirax-Sarco Engineering plc,,,,SPX
XLON:SPI,Spire Healthcare Group plc,,,,SPI
XLON:SPD,Sports Direct Intl Plc,,,,SPD
XLON:SSPG,SSP Group plc,,,,SSPG
XLON:SMP,St Modwen Properties plc,,,,SMP
XLON:SGC,Stagecoach Group plc,,,,SGC
XLON:STOB,Stobart Group Ltd,,,,STOB
XLON:SGP,Supergroup,,,,SGP
XLON:SYNT,Synthomer plc,,,,SYNT
XLON:TALK,Talktalk Telecom Group Plc,,,,TALK
XLON:TATE,Tate & Lyle plc,,,,TATE
XLON:TBCG,TBC Bank Group Plc,,,,TBCG
XLON:TED,Ted Baker,,,,TED
XLON:TEP,Telecom Plus plc,,,,TEP
XLON:TCG,Thomas Cook Group plc,,,,TCG
XLON:TCAP,TP ICAP plc,,,,TCAP
XLON:TPK,Travis Perkins plc,,,,TPK
XLON:TLW,Tullow Oil plc,,,,TLW
XLON:UBM,UBM Plc,,,,UBM
XLON:UDG,UDG Healthcare plc,,,,UDG
XLON:ULE,Ultra Electronics Holdings,,,,ULE
XLON:UTG,Unite Group,,,,UTG
XLON:VEC,Vectura Group,,,,VEC
XLON:VED,Vedanta Resources Plc,,,,VED
XLON:VSVS,Vesuvius plc,,,,VSVS
XLON:VCT,Victrex,,,,VCT
XLON:VM.,Virgin Money Holdings (UK) plc,,,,VM.
XLON:WEIR,Weir Group plc,,,,WEIR
XLON:SMWH,WH Smith Plc,,,,SMWH
XLON:WMH,William Hill plc,,,,WMH
XLON:WIZZ,Wizz Air Holdings plc,,,,WIZZ
XLON:WG.,Wood Group (John) Plc,,,,WG.
XLON:WKP,Workspace Group Plc,,,,WKP
XLON:ZPG,ZPG plc,,,,ZPG
III,3i Group Plc,,,,III
ADM,Admiral Group,,,,ADM
