,Ticker,Net Income,EPS,Dividends,Payout Ratio,Shares,Book Value/Share,Current Ratio,Quick Ratio,Free Cashflow/Share,Revenue,Gross Margin,Operating Margin,EBT Margin,Net Margin,Return on Assets,Return on Equity,Return on Invested Capital,Interest Coverage,EPS Year on Year,Total Assets,Debt/Equity,5-Year Net Income %,Company Name,Dividend Cover,Dividend Cover
0,XLON:888,12.0,0.03,0.09,267.6,368.0,0.24,0.79,0.77,0,100.0,0,13.46,3.47,2.33,3.24,9.1,8.81,0,0,100.0,0,-18.67,888 Holdings,0.0003363228699551569,0.0003363228699551569
1,XLON:AA.,111.0,0.18,0.09,51.1,610.0,-2.87,0.65,0.54,0,100.0,62.5,32.08,14.69,11.56,5.96,0,0,1.99,-105.54,100.0,0,-11.75,AA plc,0.001761252446183953,0.001761252446183953
2,ASL,49.0,0.38,0,0,129.0,0,1.15,0.71,0,100.0,34.34,10.0,12.89,10.77,5.47,10.33,6.78,0,-85.71,100.0,0.43,0,Aberforth Smaller Companies Trust,0,0
3,XLON:ACA,-739.0,-1.8,0,0,410.0,2.15,1.31,0.33,0,100.0,37.15,25.66,-108.56,-106.61,-33.93,-48.57,-46.34,-312.17,-154.02,100.0,0.02,0,Acacia Mining plc,0,0
4,XLON:AGK,109.0,0.42,0.27,64.0,256.0,5.07,1.87,1.31,0,100.0,52.05,10.62,8.85,6.03,4.28,8.35,6.35,5.44,0,100.0,0.49,-17.42,Aggreko plc,0.00421875,0.00421875
5,XLON:AMFW,-30.0,-0.08,0.07,0,383.0,2.52,1.1,0.78,0,100.0,11.8,2.49,-0.39,-0.61,-0.57,-2.93,0.92,0.76,0,100.0,1.14,0,Amec Foster Wheeler plc,0,0
6,XLON:AGR,71.0,0.03,0.03,67.8,1964.0,0.52,1.3,0.98,0,100.0,96.05,86.23,85.99,85.99,4.54,6.94,6.03,4.39,0,100.0,0.39,38.48,Assura plc,0.0004424778761061947,0.0004424778761061947
7,XLON:AVV,48.0,0.47,0.27,57.8,102.0,11.94,1.23,1.19,0,100.0,69.78,9.83,9.39,9.55,3.54,4.44,4.69,13.71,0,100.0,0,0.92,AVEVA Group plc,0.0046712802768166094,0.0046712802768166094
8,XLON:BBY,217.0,0.32,0.03,11.5,690.0,1.78,0.91,0.71,0,100.0,4.64,-0.02,2.35,3.29,4.38,21.81,10.98,5.84,0,100.0,0.51,30.73,Balfour Beatty plc,0.002608695652173913,0.002608695652173913
9,XLON:BAG,36.0,0.32,0.16,45.2,114.0,1.76,1.56,1.25,0,100.0,46.73,15.8,15.34,12.68,12.1,18.93,17.9,-436.0,0,100.0,0.06,7.79,Barr (A.G.),0.0035398230088495575,0.0035398230088495575
10,XLON:BBA,133.0,0.13,0.1,82.4,1029.0,1.4,1.41,0.6,0,100.0,23.05,10.7,6.65,5.36,3.29,7.08,5.44,3.83,0,100.0,0.71,0.61,BBA Aviation plc,0.0012135922330097086,0.0012135922330097086
11,XLON:BEZ,45.0,0.08,0.15,174.2,533.0,2.13,0,0,0,100.0,0,0,3.21,2.21,0.62,3.08,0,3.98,0,100.0,0.24,-9.54,Beazley plc,0.0008610792192881746,0.0008610792192881746
12,XLON:BWY,488.0,3.96,1.22,30.8,123.0,18.9,3.44,0.14,0,100.0,25.89,22.42,22.01,17.86,15.36,22.71,21.35,45.94,0,100.0,0,41.78,Bellway plc,0.03961038961038961,0.03961038961038961
13,XLON:BGEO,459.0,11.32,0,0,41.0,9.79,0,0,0,100.0,0,0,100.0,39.81,3.48,23.66,0,0,-7.63,100.0,1.86,20.2,BGEO Group plc,0,0
14,XLON:BYG,134.0,0.84,0.29,34.8,158.0,5.89,0.62,0.3,0,100.0,69.42,60.79,114.98,114.47,10.17,14.27,11.3,13.84,0,100.0,0.35,33.18,Big Yellow Group,0.008333333333333333,0.008333333333333333
15,XLON:BOY,104.0,0.55,0.17,31.8,190.0,3.55,1.09,0.92,0,100.0,34.64,14.86,17.68,14.62,10.96,15.65,15.38,316.0,0,100.0,0,7.74,Bodycote plc,0.005345911949685535,0.005345911949685535
16,XLON:BOK,154.0,0.09,0.05,54.3,1791.0,0.3,0.93,0.44,0,100.0,5.48,3.31,3.27,2.89,10.9,25.72,25.89,117.0,0,100.0,0,15.48,Booker Group plc,0.0009208103130755066,0.0009208103130755066
17,XLON:BVS,105.0,0.78,0.47,60.8,135.0,7.87,4.98,0.59,0,100.0,19.14,13.81,12.73,10.21,6.63,10.16,9.95,18.88,0,100.0,0.03,17.45,Bovis Homes Group plc,0.007730263157894737,0.007730263157894737
18,XLON:BRW,45.0,0.16,0.13,83.8,285.0,0.93,1.63,1.6,0,100.0,0,20.85,18.97,14.86,8.94,17.87,17.86,444.41,0,100.0,0,19.66,Brewin Dolphin Holdings plc,0.001551312649164678,0.001551312649164678
19,XLON:BVIC,106.0,0.4,0.27,65.9,265.0,1.2,0.77,0.53,0,100.0,53.43,9.73,8.3,6.76,6.66,35.86,11.73,8.09,0,100.0,1.44,14.22,Britvic plc,0.00409711684370258,0.00409711684370258
20,XLON:BWNG,13.0,0.04,0.14,323.4,284.0,1.62,4.45,3.85,0,100.0,54.83,9.81,1.76,1.36,1.23,2.67,2.28,2.82,0,100.0,0.88,-30.91,Brown (N) Group plc,0.00043290043290043295,0.00043290043290043295
21,XLON:BTG,12.0,0.03,0,0,389.0,2.36,2.15,1.81,0,100.0,70.04,8.2,-11.38,2.05,1.03,1.34,1.3,0,0,100.0,0,-4.99,BTG plc,0,0
22,XLON:CNE,-308.0,-0.54,0,0,589.0,2.57,3.21,2.95,0,100.0,17.18,-51.63,-207.03,-150.46,-10.74,-14.38,-10.71,-45.62,0,100.0,0.1,29.37,Cairn Energy plc,0,0
23,XLON:CPI,-77.0,-0.08,0.07,0,1180.0,-0.12,0.77,0.71,0,100.0,23.93,4.63,-11.18,-1.89,-1.44,0,0,-6.5,0,100.0,0,0,Capita plc,0,0
24,XLON:CAPC,-12.0,-0.02,0.01,0,850.0,3.31,1.45,1.21,0,100.0,82.25,41.67,-108.45,-14.37,-0.31,-0.42,0.15,-3.65,0,100.0,0.22,0,Capital & Counties Properties plc,0,0
25,XLON:CBG,198.0,1.31,0.6,45.7,151.0,8.44,0,0,0,100.0,0,0,32.36,24.15,2.11,16.4,0,0,0,100.0,1.7,13.91,Close Brothers Group plc,0.01312910284463895,0.01312910284463895
26,XLON:CLI,119.0,0.29,0.06,21.8,407.0,2.6,0.88,0.77,0,100.0,83.45,56.25,97.23,84.16,5.63,11.7,7.24,6.31,0,100.0,0.76,27.56,CLS Holdings plc,0.002752293577981651,0.002752293577981651
27,XLON:COA,74.0,0.05,0.01,27.5,1429.0,0.21,1.69,1.08,0,100.0,36.86,10.7,8.82,4.79,5.49,26.78,13.0,7.27,0,100.0,0.99,0,Coats Group plc,0.00036363636363636367,0.00036363636363636367
28,XLON:COB,224.0,0.1,0,0,2383.0,0.52,1.45,0.88,0,100.0,26.45,2.78,11.68,11.53,8.33,20.04,13.72,8.12,0,100.0,0.3,-14.63,Cobham plc,0,0
29,XLON:CCC,84.0,0.69,0.26,37.4,120.0,3.59,1.34,1.16,0,100.0,12.73,2.83,2.83,2.04,6.95,19.5,18.9,89.2,0,100.0,0.04,10.61,Computacenter plc,0.006951871657754011,0.006951871657754011
30,XLON:CSP,128.0,0.28,0.08,29.7,454.0,1.59,3.72,0.71,0,100.0,22.06,15.58,17.36,14.35,12.52,19.07,18.75,63.04,0,100.0,0,0,Countryside Properties Plc,0.0026936026936026937,0.0026936026936026937
31,XLON:CWK,70.0,1.37,0.46,33.6,51.0,9.31,1.62,1.09,0,100.0,-87.4,-93.96,6.01,4.78,11.09,15.53,15.31,441.0,0,100.0,0,14.07,Cranswick plc,0.01369047619047619,0.01369047619047619
32,XLON:CRST,167.0,0.65,0.33,51.1,259.0,3.21,3.73,0.55,0,100.0,25.18,19.38,18.74,15.26,11.24,21.48,18.24,16.82,0,100.0,0.22,21.41,Crest Nicholson Holdings plc,0.006457925636007828,0.006457925636007828
33,XLON:CYBG,40.0,0.05,0.01,18.9,885.0,3.69,0,0,0,100.0,0,0,100.0,4.51,0.11,1.44,0,0,0,100.0,1.36,0,CYBG plc,0.0005291005291005291,0.0005291005291005291
34,XLON:DJAN,203.0,12.45,0.98,7.9,16.0,111.25,1.05,1.0,0,100.0,46.53,37.24,140.86,141.99,8.21,11.7,10.33,16.73,0,100.0,0.16,17.76,Daejan Holdings plc,0.1240506329113924,0.1240506329113924
35,XLON:DCG,150.0,1.06,0.23,21.4,142.0,1.56,2.57,0.52,0,100.0,26.2,15.11,39.23,32.73,25.23,94.74,35.12,19.86,0,100.0,1.13,22.36,Dairy Crest Group plc,0.01074766355140187,0.01074766355140187
36,XLON:DC.,166.0,0.14,0.11,55.4,1160.0,2.75,0.95,0.48,0,100.0,20.51,3.49,2.74,1.58,2.26,5.31,5.46,8.41,0,100.0,0.13,-22.16,Dixons Carphone plc,0.0019855595667870036,0.0019855595667870036
37,XLON:DOM,65.0,0.13,0.09,68.7,491.0,0.09,0.82,0.72,0,100.0,38.09,8.81,15.43,12.98,17.52,105.75,30.57,28.39,0,100.0,4.78,16.91,Domino's Pizza Group plc,0.0013100436681222707,0.0013100436681222707
38,XLON:DRX,-70.0,-0.17,0.12,0,410.0,4.24,1.35,0.58,0,100.0,12.83,1.49,-2.29,-1.76,-1.87,-3.91,-1.83,-1.62,0,100.0,0.36,0,Drax Group plc,0,0
